-15.830541	-16.706316	-22.44282
-16.242295	-16.617202	-22.601693
-15.725703	-16.917453	-22.377454
-16.104845	-17.007566	-22.348237
-16.054884	-17.47243	-22.164693
-15.48167	-17.257071	-22.260686
-16.168009	-17.832234	-22.137341
-15.363682	-16.910677	-22.406042
-16.30252	-17.413425	-22.0289
-15.042989	-17.528171	-22.163106
-16.536792	-16.952922	-22.239234
-15.814571	-18.988102	-21.305395
-15.814571	-18.988102	-21.305395
-16.883838	-18.867941	-21.20173
-16.883838	-18.867941	-21.20173
-16.299764	-18.301159	-21.781298
-14.913893	-19.525227	-19.646524
-17.304321	-19.265264	-19.623666
-15.461262	-19.504748	-19.626538
-15.814571	-18.988102	-21.305395
-16.020009	-19.604522	-18.96979
-15.36659	-19.811058	-19.028868
-15.586703	-19.567864	-19.306061
-16.569165	-19.277993	-20.767661
-15.36659	-19.811058	-19.028868
-15.461262	-19.504748	-19.626538
-17.271458	-16.319745	-22.494778
-17.108861	-16.844639	-22.393436
-16.489931	-16.558197	-22.4659
-17.488003	-16.934752	-22.364219
-15.72383	-17.160526	-22.266636
-17.108861	-16.844639	-22.393436
-16.695898	-17.23185	-22.17092
-16.854312	-17.833121	-21.651674
-16.291375	-17.085358	-22.228762
-16.268031	-17.906403	-22.015514
-16.661785	-18.307935	-21.75271
-16.054884	-17.47243	-22.164693
-16.294948	-18.586465	-21.594105
-17.104227	-18.167861	-21.439538
-16.294948	-18.586465	-21.594105
-16.54866	-17.948131	-21.780062
-16.43002	-17.731762	-21.855158
-16.321955	-18.420884	-21.494671
-16.864447	-18.618768	-21.483115
-17.681312	-18.427528	-20.969668
-17.064212	-18.939847	-19.942838
-16.408969	-19.356484	-20.170032
-16.180205	-19.526031	-19.567419
-18.060454	-18.517641	-20.940451
-17.500376	-19.089874	-19.876927
-16.744398	-19.357765	-19.764347
-16.180205	-19.526031	-19.567419
-15.36659	-19.811058	-19.028868
-17.098284	-19.133616	-19.779226
-16.736071	-17.092903	-22.217062
-16.691082	-17.517156	-21.983727
-17.753363	-16.066342	-22.097533
-17.088573	-17.101831	-22.036085
-17.341196	-16.9478	-21.950034
-16.940813	-16.953421	-22.095636
-16.296191	-16.800052	-22.415955
-17.886785	-16.877296	-21.901033
-17.488003	-16.934752	-22.364219
-16.96773	-17.633483	-21.674227
-17.07731	-17.487799	-21.860947
-16.92145	-17.699867	-21.956436
-18.215032	-16.234677	-21.99662
-17.053966	-18.308844	-21.647699
-18.113593	-17.161796	-21.341423
-16.948367	-18.379929	-21.535027
-16.92145	-17.699867	-21.956436
-17.479276	-18.048143	-21.361019
-16.46799	-18.781566	-21.246317
-17.120435	-18.624032	-21.152823
-16.549774	-19.02882	-21.049046
-16.864447	-18.618768	-21.483115
-16.948367	-18.379929	-21.535027
-16.948367	-18.379929	-21.535027
-16.941955	-19.029729	-20.944035
-17.264814	-18.761405	-20.14056
-17.215335	-18.819918	-20.815484
-17.264814	-18.761405	-20.14056
-17.002471	-19.314651	-20.43139
-17.628405	-18.771581	-20.139766
-17.948382	-18.686074	-20.128878
-16.329886	-19.500136	-18.961462
-18.332216	-18.692907	-19.338068
-16.416466	-19.441724	-19.206588
-17.844641	-18.849847	-19.531689
-16.744398	-19.357765	-19.764347
-17.473513	-19.174617	-19.09718
-18.515034	-16.487791	-21.529896
-17.753363	-16.066342	-22.097533
-18.480558	-17.334457	-21.03686
-17.89728	-17.261922	-21.691445
-17.788005	-17.187866	-21.897495
-16.695898	-17.23185	-22.17092
-17.695712	-18.418281	-21.104194
-18.480558	-17.334457	-21.03686
-18.763813	-17.937007	-20.204504
-17.867422	-17.623742	-21.761833
-17.695712	-18.418281	-21.104194
-18.68322	-17.64529	-20.767265
-18.152311	-17.977076	-20.941273
-18.148984	-18.507632	-20.3266
-18.232904	-18.268793	-20.378512
-17.935875	-17.606938	-21.198098
-17.931894	-17.681537	-21.12405
-17.871457	-18.049052	-21.256008
-18.243234	-18.200956	-20.01767
-17.646597	-18.542562	-20.48975
-18.212827	-18.261998	-20.428628
-18.876013	-17.807557	-19.959001
-18.507475	-18.014519	-20.615451
-18.14833	-18.051675	-20.867225
-18.208846	-18.336597	-20.35458
-17.064212	-18.939847	-19.942838
-18.563211	-18.115449	-20.006782
-18.283436	-18.338644	-19.915794
-18.367579	-18.408737	-19.292279
-17.948382	-18.686074	-20.128878
-18.164618	-18.76434	-19.520801
-18.283436	-18.338644	-19.915794
-17.633709	-19.096126	-19.694809
-17.834311	-18.917684	-19.892531
-17.86997	-19.011819	-19.333978
-18.070572	-18.833377	-19.5317
-18.164618	-18.76434	-19.520801
-18.264122	-16.964319	-21.293685
-18.651226	-17.241909	-20.902437
-19.030368	-17.332022	-20.87322
-18.959933	-17.568718	-20.010913
-19.030368	-17.332022	-20.87322
-18.743736	-17.930212	-20.25462
-18.763813	-17.937007	-20.204504
-17.998493	-17.508665	-21.066536
-18.291039	-17.644381	-20.872276
-18.793486	-17.729335	-20.030697
-18.429063	-18.340264	-19.820551
-18.682252	-17.998685	-19.726348
-18.725323	-18.250108	-18.824836
-18.563211	-18.115449	-20.006782
-18.070572	-18.833377	-19.5317
-18.44914	-18.347059	-19.770435
-17.988788	-18.586123	-19.728971
-18.685401	-18.262752	-19.409604
-18.60384	-18.32443	-18.931448
-18.484799	-18.441194	-19.211882
-19.442951	-16.391239	-20.769206
-19.130437	-16.493597	-21.139848
-19.206113	-16.962793	-21.025034
-19.206113	-16.962793	-21.025034
-18.881225	-17.512815	-20.173574
-19.096838	-16.888737	-21.231084
-19.442951	-16.391239	-20.769206
-18.624885	-17.97783	-19.922249
-18.944431	-17.749177	-19.478218
-19.359716	-17.448771	-19.969575
-19.266629	-17.247715	-20.512389
-18.763813	-17.937007	-20.204504
-18.959933	-17.568718	-20.010913
-18.763813	-17.937007	-20.204504
-18.947045	-18.122282	-19.215972
-18.469165	-18.184486	-20.017681
-18.797412	-17.541867	-20.113268
-18.229027	-18.590253	-19.493242
-18.855936	-17.800762	-20.009117
-18.634461	-17.856156	-20.46067
-18.944431	-17.749177	-19.478218
-18.743736	-17.930212	-20.25462
-18.685401	-18.262752	-19.409604
-18.055343	-18.690284	-19.726851
-18.099094	-18.536521	-19.520842
-18.781341	-18.113867	-19.361331
-19.318563	-16.417403	-20.62142
-19.902871	-15.846692	-20.025284
-19.47655	-15.996099	-20.67797
-19.266629	-17.247715	-20.512389
-19.555836	-17.080482	-19.775984
-19.731581	-16.711253	-19.927798
-19.101522	-17.790721	-19.052412
-18.876013	-17.807557	-19.959001
-19.261718	-17.71223	-19.650041
-19.183306	-18.037975	-18.855141
-18.797601	-18.133302	-19.164101
-18.453936	-18.041393	-20.212832
-19.183306	-18.037975	-18.855141
-18.685401	-18.262752	-19.409604
-19.659387	-16.761377	-20.512381
-18.654532	-15.973956	-21.471197
-19.47655	-15.996099	-20.67797
-19.902871	-15.846692	-20.025284
-19.895648	-16.67707	-20.15155
-18.941741	-17.797737	-19.660929
-19.220788	-17.489594	-19.68732
-19.087079	-17.48955	-20.223701
-18.941741	-17.797737	-19.660929
-19.303315	-17.567816	-19.615624
-19.471916	-17.319321	-19.724072
-19.049839	-17.553157	-19.977903
-19.454665	-17.410181	-19.598215
-19.101522	-17.790721	-19.052412
-18.6559	-18.050751	-19.681808
-18.822938	-17.969453	-19.326914
-19.261718	-17.71223	-19.650041
-19.422874	-16.384444	-20.819322
-19.422874	-16.384444	-20.819322
-19.902871	-15.846692	-20.025284
-19.357119	-17.494738	-19.178162
-19.12279	-17.753053	-19.367786
-19.212979	-17.830303	-18.681334
-19.461164	-17.386792	-19.178314
-19.611572	-17.181412	-19.167315
-19.179191	-17.634008	-19.721737
-19.542948	-17.634046	-18.981043
-19.585771	-16.781456	-20.159878
-19.95524	-16.251013	-19.544707
-19.303315	-17.567816	-19.615624
-19.326712	-17.55578	-19.58912
-19.183306	-18.037975	-18.855141
-19.555836	-17.080482	-19.775984
-19.731581	-16.711253	-19.927798
-19.611572	-17.181412	-19.167315
-20.07429	-15.511368	-18.933752
-19.898007	-16.499909	-19.725306
-19.895648	-16.67707	-20.15155
-19.176745	-17.422832	-20.437054
-19.719903	-17.046299	-19.999736
-19.357119	-17.494738	-19.178162
-19.718693	-17.264817	-19.132857
-19.549535	-17.174568	-20.613428
-19.870043	-17.107182	-19.115448
-19.502457	-17.186551	-19.740934
-18.96707	-17.959709	-19.463218
-19.47655	-15.996099	-20.67797
-19.731115	-17.148005	-18.833193
-19.718693	-17.264817	-19.132857
-19.78945	-16.815465	-19.678209
-19.555836	-17.080482	-19.775984
-19.870043	-17.107182	-19.115448
-20.026288	-16.243911	-19.422381
-19.549535	-17.174568	-20.613428
